,title_name,published_date,views,comments,likes,month,year
82,Exercise 9 - Shoutouts to Everyone | Python Tutorial - Day #83,2023-02-18 14:12:02+00:00,45230,150,1460,2,2023
83,Time Module in Python | Python Tutorial - Day #84,2023-02-19 15:03:14+00:00,80750,1178,2716,2,2023
84,Creating command line utility in python | Python Tutorial - Day #85,2023-02-20 14:35:35+00:00,75504,261,2182,2,2023
85,Walrus Operator in Python | Python Tutorial - Day #86,2023-02-21 15:21:29+00:00,59893,104,2179,2,2023
86,Shutil Module in Python | Python Tutorial - Day #87,2023-02-22 14:50:29+00:00,64978,225,2518,2,2023
87,Exercise 9: Solution - Shoutouts to Everyone | Python Tutorial - Day #88,2023-02-23 12:03:10+00:00,42989,182,1303,2,2023
88,Requests Module in Python | Python Tutorial - Day #89,2023-02-24 11:30:17+00:00,71557,171,2143,2,2023
89,Exercise 10: News App in Python | Python Tutorial - Day #90,2023-02-25 11:30:03+00:00,54924,100,1562,2,2023
90,Generators in Python | Python Tutorial - Day #91,2023-02-26 11:30:24+00:00,86241,114,2643,2,2023
91,Function Caching in Python | Python Tutorial - Day #92,2023-02-27 11:30:13+00:00,55176,132,2088,2,2023
92,Exercise 10 - News App Solution & Shoutout | Python Tutorial - Day #93,2023-02-28 12:33:43+00:00,55505,113,1520,2,2023
93,Exercise 11 - Drink Water Reminder | Python Tutorial - Day #94,2023-03-01 11:58:47+00:00,52264,278,1463,3,2023
94,Regular Expressions in Python | Python Tutorial - Day #95,2023-03-02 14:07:54+00:00,140825,118,3387,3,2023
95,AsyncIO in Python | Python Tutorial - Day #96,2023-03-03 11:32:53+00:00,84372,160,2178,3,2023
96,Multithreading in Python | Python Tutorial - Day #97,2023-03-04 15:23:27+00:00,116170,172,2988,3,2023
97,MultiProcessing in Python | Python Tutorial - Day #98,2023-03-05 11:30:28+00:00,94834,152,2261,3,2023
98,Exercise 11: Solution + Shoutouts - Desktop Notification System | Python Tutorial - Day #99,2023-03-06 11:30:00+00:00,94091,220,1634,3,2023
99,Conclusion and Where to go from here | Python Tutorial - Day #100,2023-03-07 13:23:30+00:00,287423,1215,9804,3,2023
